Manf#,Quantity,Description
RC0805JR-071KL,44,SMD 1K R 5% 1/8W 0805
08055C333KAT2A,3,CAP CER 0.033UF 50V X7R 0805
B72660M0251K072,2,VARISTOR 390V 1.2KA 4032
HI1206T500R-10,****,FERRITE BEAD 50 OHM 1206 1LN
LVR005NK,****,PTC RESET FUSE 240V 50MA RADIAL
RL1220S-120-F,4,RES SMD 12 OHM 1% 1/3W 0805
RC0805FR-07499RL,37,RES SMD 499 OHM 1% 1/8W 0805
LTST-C150GKT,37,LED GREEN CLEAR 1206 SMD
CHV1206-JW-224ELF,****,RES SMD 220K OHM 5% 1/4W 1206
202R18W102KV4E,8,CAP CER 1000PF 2KV X7R 1206
C1210C104KCRACTU,****,CAP CER 0.1UF 500V X7R 1210
CRE1S0505S3C,****,DC-DC Isolator
SJ-3523-SMT-TR,2,TRS 2.5Female audio jack
OSTTE030161,5,3 pos TB
RC0805FR-07100RL,****,100 R
CL21B334KAFNNNG,****,.33F C
RAC04-3.3SGB,****,120VAC -> 3.3VDC
CL21F104ZBCNNNC,23,.1F C
CL21A106KQCLRNC,38,10F C
ABLS2-3.579545MHZ-D4Y-T,3,8.192MHz Crystal
500R15N270KV4T,****,27p C
MH2029-601Y,8, FERRITE BEAD 600 OHM 0805
RMCF0805JT51R0,****,51 R
C0805JR-0710KL,27,10K R
ATM90E26-YU-B,****, atm90e26 Energy monitor IC
SI8652AB-B-IS1,****,SI865 Digital Isolator
